"","model_id","sample_id","patient_id","parent_id","model_name","synonyms","tissue","cancer_type","cancer_type_ncit_id","tissue_status","sample_site","cancer_type_detail","model_type","growth_properties","model_treatment","sampling_day","sampling_month","sampling_year","doi","pmed","msi_status","ploidy_snp6","ploidy_wes","ploidy_wgs","mutational_burden","model_comments","model_relations_comment","COSMIC_ID","BROAD_ID","CCLE_ID","RRID","HCMI","suppliers","supplier","cat_number","species","gender","ethnicity","age_at_sampling","family_history_of_cancer","prior_same_malignancy","prior_other_malignancy","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","patient_history_of_gastrointestinal_disorder","gastrointestinal_disorder_diagnosed","prior_synchronous_colon_rectal_tumours","history_prior_colon_polyps","previous_current_barretts_oesophagus","reflux_disease_prior","reflux_disease_treatment","h_pylori_infection","history_clinical_chronic_pancreatitis","tumour_grade","tnm_integrated","tnm_t","tnm_n","tnm_m","clinical_staging","metastasis_at_diagnosis","metastatic_site_at_diagnosis","method_procurement","sample_treatment","sample_treatment_details","radiation_type","prior_therapy_outcome","tumour_regression_score","colon_polyps_present_at_time_of_tissue_collection","venous_invasion_present","venous_invasion_type","lymphatic_invasion_present","perineural_invasion_present","gastric_oesophageal_junction","barretts_goblet_cells_present","oesophageal_columnar_metaplasia","goblet_cells_oesophageal_columnar_mucosa","degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa","peripancreatic_lymph_nodes_tested_surgery","number_positive_peripancreatic_lymph_nodes","mlh1_expression_by_ihc","mlh1_promoter_methylation_status","msh2_expression_by_ihc","pms2_expression_by_ihc","msh6_expression_by_ihc","braf_mutation_identified","braf_expression_by_ihc","pik3ca_mutation_identified","pten_expression_by_ihc","pten_mutation_identified","kras_mutation_identified","mismatch_repair_status","preoperative_ce_alevel","crispr_ko_data"
"80","SIDM00646","SIDS00219","SIDP00179","","NCIH1341","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Cervix","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","2","1986","",NA,"MSS",3.601399733,3.73042178220726,NA,23.34,"","","1330964","ACH-000129","NCIH1341_LUNG","CVCL_1463","","ATCC:CRL-5864","ATCC","CRL-5864","Homo sapiens","Female","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"131","SIDM00300","SIDS00679","SIDP00607","","LC1SQ","Lung cancer-1/squamous","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Lung","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"",2.351208534,NA,NA,NA,"","LC-1F (Floating variant) is from the same patient as LC-1-sq (Lung Cancer-1/Squamous). ;LC-1-sq-SF is a variant of LC-1-sq cultured in serum-free media (RIKEN).","1298223","ACH-002156","LC1SQ_LUNG","CVCL_3008","","RIKEN:RCB0455","RIKEN","RCB0455","Homo sapiens","Male","East Asian","69.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"159","SIDM00103","SIDS00873","SIDP00777","","NCIH2373","","Lung","Mesothelioma","C45663","Unknown","Unknown","Pleural Sarcomatoid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",1.837259153,1.91028597259625,NA,21.74,"","","1290809","ACH-002124","H2373_PLEURA","CVCL_A533","","NCI-Navy Medical Oncology Branch:NCI-H2373","NCI-Navy Medical Oncology Branch","NCI-H2373","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"160","SIDM00100","SIDS00876","SIDP00780","","NCIH2595","","Lung","Mesothelioma","C45662","Unknown","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.086268484,3.21440544213531,NA,20.87,"","","1240132","ACH-002127","H2595_PLEURA","CVCL_A545","","NCI-Navy Medical Oncology Branch:NCI-H2595","NCI-Navy Medical Oncology Branch","NCI-H2595","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"161","SIDM00099","SIDS00877","SIDP00781","","NCIH2722","","Lung","Mesothelioma","C7376","Unknown","Unknown","Malignant Pleural Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.639394543,1.80637882180984,NA,24.87,"","","1290812","ACH-002128","H2722_PLEURA","CVCL_U994","","NCI-Navy Medical Oncology Branch:NCI-H2722","NCI-Navy Medical Oncology Branch","NCI-H2722","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"162","SIDM00098","SIDS00878","SIDP00782","","NCIH2731","","Lung","Mesothelioma","C45663","Unknown","Unknown","Pleural Sarcomatoid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.510828467,2.70849794013119,NA,24.24,"","","1240134","ACH-002129","H2731_PLEURA","CVCL_U995","","NCI-Navy Medical Oncology Branch:NCI-H2731","NCI-Navy Medical Oncology Branch","NCI-H2731","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"203","SIDM00143","SIDS00833","SIDP00743","","COLO668","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Brain","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","None","",NA,"MSS",3.042884606,3.22006007491564,NA,65.29,"","","910692","ACH-000803","COLO668_LUNG","CVCL_1128","","ECACC:87061209","ECACC","87061209","Homo sapiens","Female","Unknown","47.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"214","SIDM00104","SIDS00872","SIDP00776","","NCIH2369","","Lung","Mesothelioma","C7376","Unknown","Unknown","Malignant Pleural Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.57330134,1.93650261376491,NA,25.87,"","","1290808","","","CVCL_A532","","NCI-Navy Medical Oncology Branch:NCI-H2369","NCI-Navy Medical Oncology Branch","NCI-H2369","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"215","SIDM00102","SIDS00874","SIDP00778","","NCIH2461","","Lung","Mesothelioma","C45662","Unknown","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",4.691995316,3.24751069685582,NA,19.05,"","","1290810","ACH-002125","H2461_PLEURA","CVCL_A536","","NCI-Navy Medical Oncology Branch:NCI-H2461","NCI-Navy Medical Oncology Branch","NCI-H2461","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"216","SIDM00101","SIDS00875","SIDP00779","","NCIH2591","","Lung","Mesothelioma","C45662","Unknown","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",1.772999462,1.80072698519516,NA,21.63,"","","1240131","ACH-002126","H2591_PLEURA","CVCL_A543","","NCI-Navy Medical Oncology Branch:NCI-H2591","NCI-Navy Medical Oncology Branch","NCI-H2591","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"217","SIDM00154","SIDS00879","SIDP00783","","NCIH2795","","Lung","Mesothelioma","C45662","Unknown","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",1.936887223,1.96786284417055,NA,20.87,"","","1290813","ACH-002130","H2795_PLEURA","CVCL_U996","","NCI-Navy Medical Oncology Branch:NCI-H2795","NCI-Navy Medical Oncology Branch","NCI-H2795","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"218","SIDM00114","SIDS00870","SIDP00775","","NCIH513","HUT513","Lung","Non-Small Cell Lung Carcinoma","C9133","Unknown","Unknown","Adenosquamous Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.928087382,3.10880610502747,NA,224.11,"","NCI-H125 and NCI-H513 have been show to be cross contaminated (ATCC, ICLAC)","1240141","ACH-002138","H513_LUNG","CVCL_A570","","NCI-Navy Medical Oncology Branch:NCI-H513","NCI-Navy Medical Oncology Branch","NCI-H513","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"228","SIDM00137","SIDS00839","SIDP00748","","NCIH3122","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.743835019,3.92814452930623,NA,35.18,"","","1240190","ACH-000337","NCIH3122_LUNG","CVCL_5160","","NCI:NCI-H3122","NCI","NCI-H3122","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"229","SIDM00117","SIDS00840","SIDP00749","","NCIH322M","","Lung","Non-Small Cell Lung Carcinoma","C2923","Tumour","Unknown","Bronchiolo-Alveolar Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.346019095,2.29652223844556,NA,71.45,"","","905967","ACH-000837","NCIH322_LUNG","CVCL_1557","","NCI:NCI-H322M","NCI","NCI-H322M","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"230","SIDM00116","SIDS00842","SIDP00751","","NCIH522","NCI-522","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.46582998,2.50793055601808,NA,32.16,"","","905944","ACH-000343","NCIH522_LUNG","CVCL_1567","","NCI:NCI-H522","NCI","NCI-H522","Homo sapiens","Male","White","58.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"266","SIDM00134","SIDS00821","SIDP00734","","HOP92","","Lung","Non-Small Cell Lung Carcinoma","C2926","Unknown","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.995937759,4.36091564702204,NA,48.79,"","","905973","ACH-000825","HOP92_LUNG","CVCL_1286","","NCI:HOP-92","NCI","HOP-92","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"267","SIDM00223","SIDS00600","SIDP00530","","ISTSL1","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Unknown","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","None","",NA,"MSS",3.241287842,3.37364471866269,NA,48.18,"","","753564","ACH-002144","ISTSL1_LUNG","CVCL_1313","","ICLC:HTL97012","ICLC","HTL97012","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"270","SIDM00183","SIDS00640","SIDP00569","","LB647SCLC","","Lung","Small Cell Lung Carcinoma","C4917","Unknown","Unknown","Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.312882602,3.12277879103658,NA,79.58,"","LB647-PBL is a matched normal line initiated by Epstein Barr virus (EBV) transformation from the same patient as LB647-SCLC.","753582","ACH-002154","LB647SCLC_LUNG","CVCL_1368","","","","","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"275","SIDM00222","SIDS00602","SIDP00532","","MPP89","","Lung","Mesothelioma","C45662","Tumour","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.301488446,2.41936910960956,NA,39.21,"","","908150","ACH-000319","MPP89_PLEURA","CVCL_1427","","ICLC:HTL00012","ICLC","HTL00012","Homo sapiens","Male","Unknown","67.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"276","SIDM00245","SIDS00693","SIDP00619","","MS1","MS-1-L","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.093848293,2.1339291844427,NA,38.58,"","","753594","ACH-001958","MS1_LUNG","CVCL_1429","","RIKEN:RCB0725","RIKEN","RCB0725","Homo sapiens","Male","East Asian","54.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"280","SIDM00139","SIDS00837","SIDP00746","","NCIH226","HUT-226","Lung","Mesothelioma","C45662","Metastasis","Pleural Effusion","Pleural Epithelioid Mesothelioma","Cell Line","Adherent","","None","None","None","",NA,"MSS",1.932464896,1.78856075756685,NA,18.47,"","","905941","ACH-000367","NCIH226_LUNG","CVCL_1544","","NCI:NCI-H226","NCI","NCI-H226","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"281","SIDM00138","SIDS00838","SIDP00747","","NCIH23","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.899808207,2.71829764190965,NA,117.39,"","","905942","ACH-000900","NCIH23_LUNG","CVCL_1547","","NCI:NCI-H23","NCI","NCI-H23","Homo sapiens","Male","Black","51.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"284","SIDM00237","SIDS00701","SIDP00627","","PC14","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.142265697,3.33687617522468,NA,37.13,"","PC-14 has been shown to be a derivitive of PC-9 (RIKEN, ECACC).","753608","ACH-000030","PC14_LUNG","CVCL_1640","","RIKEN:RCB0446","RIKEN","RCB0446","Homo sapiens","Male","East Asian","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"307","SIDM00311","SIDS00882","SIDP00786","","NCIH2810","","Lung","Mesothelioma","C45662","Unknown","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",3.11076623,3.28249821508427,NA,29.05,"","","1240137","ACH-002133","H2810_PLEURA","CVCL_U999","","NCI-Navy Medical Oncology Branch:NCI-H2810","NCI-Navy Medical Oncology Branch","NCI-H2810","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"311","SIDM00306","SIDS00672","SIDP00600","","IALM","","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Skin","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.31124122,2.44173463362654,NA,54.79,"","","910779","ACH-000672","IALM_LUNG","CVCL_1302","","RIKEN:RCB0554","RIKEN","RCB0554","Homo sapiens","Male","East Asian","68.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"313","SIDM00230","SIDS00601","SIDP00531","","ISTSL2","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.010770547,2.15944253352826,NA,53.05,"","","753565","ACH-002145","ISTSL2_LUNG","CVCL_1314","","ICLC:HTL97010","ICLC","HTL97010","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"320","SIDM00341","SIDS01100","SIDP00989","","LOUNH91","","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Lower right lung lobe","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.119891313,4.28024039050872,NA,22.45,"","","1298226","ACH-000176","LOUNH91_LUNG","CVCL_2104","","DSMZ:ACC-393","DSMZ","ACC-393","Homo sapiens","Female","Unknown","64.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"322","SIDM00294","SIDS00683","SIDP00610","","LU135","NCC-c-Lu-135","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","None","",NA,"MSS",2.436547753,2.51171621906735,NA,56.95,"","","713899","ACH-001549","LU135_LUNG","CVCL_1389","","RIKEN:RCB0468","RIKEN","RCB0468","Homo sapiens","Male","East Asian","69.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"323","SIDM00292","SIDS00685","SIDP00612","","LU165","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph Node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",1.846327222,1.88399889510537,NA,48.39,"","","753589","ACH-002077","LU165_LUNG","CVCL_1391","","RIKEN:RCB1184","RIKEN","RCB1184","Homo sapiens","Male","East Asian","50.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"362","SIDM00297","SIDS00681","SIDP00608","","LC2AD","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural Effusion","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.372390699,4.78169224379597,NA,43.37,"","","907786","ACH-002157","LC2AD_LUNG","CVCL_1373","","RIKEN:RCC0440","RIKEN","RCC0440","Homo sapiens","Female","East Asian","51.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"365","SIDM00119","SIDS00818","SIDP00731","","EKVX","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.811285695,2.90550719005227,NA,62.05,"","","905970","ACH-000706","EKVX_LUNG","CVCL_1195","","NCI:EKVX","NCI","EKVX","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
